Gene,Condition,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10
Gene_001,Target,6.439524353,6.769822511,8.558708314,7.070508391,7.129287735,8.715064987,7.460916206,5.734938765,6.313147148,6.55433803,6.224081797,5.359813827,5.400771451,5.110682716,4.444158865,6.786913137,5.497850478,3.033382843,5.701355902,4.527208592
Gene_002,Target,3.932176294,4.782025085,3.973995552,4.271108771,4.374960732,3.313306689,5.837787044,5.153373118,3.861863063,6.253814921,8.426464221,7.704928517,8.895125661,8.878133488,8.821581082,8.688640254,8.553917654,7.938088289,7.694037336,7.619528999
Gene_003,Target,6.305293021,6.792082722,5.734603648,9.168955965,8.207961998,5.876891417,6.597115165,6.533344646,7.779965118,6.916630934,5.253318514,4.971453245,4.957129543,6.368602284,4.774229014,6.516470604,3.451247196,5.58461375,5.123854244,5.215941569
Gene_004,Target,5.379639483,4.497676547,4.666792616,3.981424617,3.928208774,5.303528641,5.448209779,5.053004227,5.922267468,7.050084686,7.508968834,5.690831124,9.005738524,7.290799237,7.311991384,9.02557137,7.715226993,6.779282288,8.18130348,7.861108638
Gene_005,Target,7.005764186,7.385280401,6.629339968,7.644376549,6.779513438,7.331781964,8.096839013,7.435181491,6.674068414,8.148807618,5.993503856,5.54839696,5.238731735,4.372093924,6.360652449,4.399740413,7.187332993,6.532610626,4.764299641,3.9735791
Gene_006,Target,4.289593436,5.256883709,4.753308122,4.652457401,4.048381433,4.954972275,4.215095531,3.332058063,4.61977348,5.918996609,7.424653037,8.607964322,6.382117292,7.944438034,8.519407204,8.301153362,8.105676194,7.359293992,7.150295654,6.975871209
Gene_007,Target,7.117646597,6.052525386,6.509442556,6.743907808,8.843862005,6.348050098,7.235386572,7.07796085,6.038143366,6.928691914,6.444550858,5.451504053,5.041232922,4.577503168,2.946752778,6.131337213,3.539359929,5.739947511,6.909103569,3.556106839
Gene_008,Target,5.701784335,4.737802511,3.427855841,3.485332346,3.398463826,4.469093478,3.538244415,5.687916773,7.100108941,3.712969524,8.787738847,8.769042241,8.332202579,6.991623392,7.880547393,7.719604665,8.562989533,7.627561244,8.976973387,7.625419142
Gene_009,Target,8.052711466,5.950822993,5.739844755,10.24103993,6.583142412,7.298227592,7.636569674,6.516219374,7.516862044,7.368964527,4.784619492,5.065293034,4.965932746,7.128451899,4.258663904,3.904003733,5.037788399,5.310480749,5.436523479,4.541634667
Gene_010,Target,3.936673866,6.263185176,4.650349612,4.134487137,4.763720431,4.802824106,6.10992029,5.084737292,5.754053785,4.500707983,8.21444531,7.675314089,8.094583528,7.104636642,6.689198467,9.997213385,8.600708824,6.748728638,7.388834083,6.814519915
Gene_011,Target,9.198810349,8.312412976,6.734854943,7.543194059,6.585660052,6.523753105,6.211397162,6.405382733,8.650907467,6.945971875,5.119245236,5.24368743,6.232475878,4.483936169,4.00749285,6.675696932,4.558836783,4.27693403,3.763726881,3.715284278
Gene_012,Target,4.426026521,5.617985817,6.109848139,5.707588354,4.636342703,5.059749937,4.295403536,4.282781838,5.884650499,3.984407421,9.955293965,7.909680406,8.214538827,7.261472295,7.42561131,6.682983868,7.817074612,8.418982405,8.324304344,7.218463513
