"Gene","Condition","Control_1","Control_2","Control_3","Control_4","Treatment_1","Treatment_2","Treatment_3","Treatment_4"
"miR-0001","Target",19.4395243534478,19.7698225105167,21.5587083141491,20.0705083914246,30.1292877351609,31.7150649868833,30.4609162059892,28.7349387653935
"miR-0002","Target",29.3131471481065,29.5543380299,31.2240817974395,30.3598138270574,20.4007714505941,20.1106827159451,19.4441588652459,21.7869131368031
"miR-0003","Target",20.4978504782292,18.0333828433704,20.7013559015637,19.5272085922721,28.9321762940132,29.7820250853417,28.9739955516928,29.2711087707089
"miR-0004","Target",29.3749607321507,28.3133066892576,30.8377870444945,30.1533731178365,18.8618630629881,21.2538149210699,20.4264642214768,19.7049285170077
"miR-0005","Target",20.895125661045,20.878133487533,20.8215810816375,20.6886402541001,30.5539176535376,29.9380882894233,29.6940373362601,29.6195289989876
"miR-0006","Target",29.3052930210795,29.7920827219804,28.7346036484317,32.1689559653385,21.207961998305,18.8768914167966,19.5971151647009,19.5333446463768
"miR-0007","Target",20.7799651183363,19.9166309335282,20.2533185139948,19.9714532446513,29.9571295427087,31.3686022840145,29.7742290143407,31.5164706044295
"miR-0008","Target",28.4512471957698,30.5846137496361,30.1238542438446,30.215941568744,20.3796394827599,19.4976765468907,19.6667926163306,18.9814246168929
"miR-0009","Target",18.9282087735244,20.3035286414043,20.4482097786294,20.0530042267305,30.9222674678797,32.0500846856271,29.5089688339435,27.6908311243592
"miR-0010","Target",31.0057385244623,29.2907992374176,29.3119913835326,31.0255713696967,19.715226992949,18.7792822877455,20.1813034797492,19.861108637561
"miR-0011","Target",20.0057641858999,20.3852804011263,19.6293399682076,20.6443765485188,29.7795134381813,30.3317819639157,31.0968390131493,30.4351814908338
"miR-0012","Target",29.6740684144688,31.1488076184511,30.9935038559621,30.5483969595081,20.2387317351114,19.3720939239606,21.36065244853,19.3997404128529
"miR-0013","Target",22.1873329930166,21.5326106261852,19.7642996408995,18.9735790996932,29.2895934363007,30.2568837091565,29.7533081215376,29.6524574006023
"miR-0014","Target",29.048381432735,29.9549722751911,29.2150955305429,28.3320580634119,19.6197734797122,20.9189966090608,19.4246530373916,20.607964322225
"miR-0015","Target",18.3821172917108,19.9444380344755,20.5194072039435,20.3011533621667,30.1056761941489,29.3592939916946,29.1502956539664,28.9758712093951
"miR-0016","Target",30.1176465971001,29.0525253858152,29.5094425562993,29.7439078078018,21.8438620052322,19.3480500983045,20.2353865722849,20.0779608495637
"miR-0017","Target",19.0381433658699,19.9286919138764,21.4445508584233,20.4515040530792,30.0412329219929,29.5775031676604,27.9467527784595,31.1313372134142
"miR-0018","Target",28.5393599290752,30.7399475108773,31.9091035692175,28.5561068390282,20.7017843353747,19.7378025105975,18.4278558408545,18.4853323462183
"miR-0019","Target",18.3984638264254,19.4690934778297,18.5382444150041,20.6879167729758,32.1001089405257,28.7129695239648,30.7877388474752,30.7690422410009
"miR-0020","Target",30.3322025789501,28.991623391723,29.8805473933693,29.7196046648298,20.5629895332205,19.6275612438962,20.9769733866856,19.625419142233
"miR-0021","Target",21.0527114655793,18.9508229933339,18.7398447552419,23.2410399349424,29.5831424118396,30.2982275915407,30.6365696740338,29.5162193742913
"miR-0022","Target",30.5168620443136,30.3689645273851,29.7846194923583,30.0652930335253,19.9659327462615,22.1284518990162,19.2586639037272,18.9040037329253
"miR-0023","Target",20.0377883991711,20.3104807494431,20.4365234789102,19.5416346672889,28.9366738660288,31.2631851760895,29.6503496120464,29.1344871373466
"miR-0024","Target",29.7637204310589,29.8028241056514,31.1099202897136,30.0847372921972,20.7540537851845,19.5007079828277,20.2144453095816,19.6753140885092
"miR-0025","Target",20.0945835281736,19.1046366420225,18.689198466672,21.997213384748,30.6007088236724,28.7487286383751,29.3888340833196,28.8145199154027
"miR-0026","Target",32.1988103488837,31.3124129764335,29.7348549433036,30.5431940592321,19.5856600520811,19.5237531053844,19.2113971621498,19.4053827325405
"miR-0027","Target",21.6509074673367,19.9459718749146,20.1192452364276,20.2436874295991,31.2324758784853,29.4839361690552,29.007492849608,31.6756969324032
"miR-0028","Target",29.5588367830947,29.2769340300601,28.7637268811167,28.7152842776822,19.426026520702,20.6179858171665,21.1098481389297,20.7075883538356
"miR-0029","Target",19.6363427029047,20.0597499373846,19.2954035363199,19.282781838426,30.8846504989769,28.9844074213965,31.9552939654925,29.9096804060341
"miR-0030","Target",30.2145388266292,29.2614722952604,29.4256113102367,28.6829838676948,19.8170746116273,20.4189824049245,20.3243043441614,19.2184635129452
"miR-0031","Target",19.211378029146,19.4978012816571,21.4960606698464,18.8626963793343,29.8209484056198,31.9023618216789,29.8990251146712,28.6401592961786
"miR-0032","Target",29.3352305647259,30.4854599789049,29.6243971283302,29.4381236364502,19.6560827658715,20.0904966471392,21.5985087711458,19.9114348878611
"miR-0033","Target",21.0807994961515,20.6307541156506,19.8863601044939,18.4670979971094,29.4788826824475,29.5101295468615,30.0471544327615,31.3001986776668
"miR-0034","Target",32.2930789738311,31.5475810589838,29.8668490356711,28.2434726044424,19.6112201359283,20.0892072230733,20.8450130040674,20.9625279684843
"miR-0035","Target",20.6843094294165,18.6047256502005,20.8496430456334,19.5534427835728,30.1748027001613,30.0745511771737,30.4281667649705,30.0246749828261
"miR-0036","Target",28.3325249024143,30.7364959647734,30.3860265683497,29.7343483747218,20.1181445110467,20.1340386453685,20.221019468561,21.6408461659775
"miR-0037","Target",19.7809496210665,20.1680653838847,21.1683838730691,21.0541810233769,31.1452631103804,29.4225319989404,32.0024827302928,30.0667008709302
"miR-0038","Target",31.8668518447069,28.6490973139693,30.0209835863542,31.2499145709692,19.2847578127772,19.2473110317823,19.0614612963931,18.9474867206613
"miR-0039","Target",19.5628404668196,20.331179172959,17.9857895020793,20.2119804333723,31.2366750464166,32.0375740182404,31.3011759922006,30.756774763796
"miR-0040","Target",28.2732696008857,29.3984932919932,29.6479535434174,30.7035239027569,19.8943286659962,18.7413513719398,21.6844357080941,20.911391291796
"miR-0041","Target",20.237430272491,21.2181086103258,18.661225712765,20.6608202977898,29.4770876236866,30.6837455218507,29.9391780453399,30.6329607130315
"miR-0042","Target",31.3355176150594,30.0072900903169,31.0175586369521,28.811565964852,19.278395559564,21.5192177113882,20.3773879730239,17.9477771795663
"miR-0043","Target",18.6359625479176,19.7992189844109,20.8657794043345,19.8981167442848,30.6241874720207,30.9590053777878,31.6710548288629,30.056016733275
"miR-0044","Target",29.9480180938191,28.2467626408577,30.0993275940878,29.4281499421044,19.0259904171959,19.8200937689525,21.0149431727437,18.0072515113114
"miR-0045","Target",19.5727207127946,20.1166372835827,19.106792429945,20.3339029424992,30.4114299206157,29.966963840724,27.53410180624,32.5714581458666
"miR-0046","Target",29.7947007425318,30.6511932815877,30.2737664910365,31.0246732348184,20.8176594463741,19.7902068287715,20.3781677722085,19.0545911688761
"miR-0047","Target",20.8569230108993,19.5389616611156,22.4167733537882,18.3489511043118,29.536012757034,30.8253798627592,30.5101325468787,29.410518961485
"miR-0048","Target",29.0032192577925,30.1444757047107,29.9856925868331,28.2097187627359,20.0345510671339,20.1902303156925,20.1747263969818,18.9449829573973
"miR-0049","Target",20.4761332783026,21.3785701369592,20.4562364031798,18.8644115296257,29.5643545303081,30.3461036195536,29.3529543686817,27.8423536649847
"miR-0050","Target",30.8842508200282,29.1705223883755,29.4264397292317,31.5039006090045,19.2258550703946,20.8457315401893,18.7393171211812,19.645457596926
"miR-0051","Target",19.9264439808635,18.8313485755756,19.3652517350911,19.9711584470717,30.6706959687339,28.3494534565749,29.6502457607887,30.7564064385455
"miR-0052","Target",29.4611908400224,30.2272919216729,30.4922285700644,30.2678350153317,20.6532576794714,19.8772913390226,19.5863234864079,17.356851047971
"miR-0053","Target",19.9070589815205,20.43028469636,20.5353988408682,19.4447216486867,31.7795029097752,30.2864244196288,30.1263158584589,31.2722667794685
"miR-0054","Target",29.2815337786807,29.5496613760753,32.3974524800498,30.0111291872209,21.6335684214083,18.5614933550855,19.8094831979571,20.3784239036368
"miR-0055","Target",20.3000385452058,18.9943637404892,20.0192592746254,18.922579346888,30.7127033252443,31.0847750898606,27.7750123035126,31.2356934623001
"miR-0056","Target",28.7589555031915,30.4547692689826,30.6599026381426,29.8001101718986,19.3548860431402,20.1653210212421,20.4388187007145,20.8833028199487
"miR-0057","Target",17.947663016098,18.363620731941,21.4304023411882,21.0466288471115,30.4352889489077,30.7151784071111,30.917174917641,27.3390772015343
"miR-0058","Target",31.1102770966388,29.5150124034377,30.2306168306312,29.7048421991164,20.8719649540787,19.6515275510444,20.5185037658882,19.609315021361
"miR-0059","Target",18.9072127908985,21.2100105104403,20.7409000112743,21.7242622391565,30.0651539325793,31.1250027458282,31.9754190540191,29.718517884961
"miR-0060","Target",28.6770488872448,29.7606484328619,29.7859587600146,30.1516805045093,21.7123049773193,19.6738561074947,20.3730046558049,19.7723159351045
"miR-0061","Target",20.020450708525,20.3140576635063,21.328214696037,20.1213183774908,30.7128423200311,30.7788600297835,30.9147732708556,29.4256054478156
"miR-0062","Target",31.6268812141947,29.619043260706,29.8942158323502,31.4040502677142,21.2940839061456,18.9100081275888,19.1269289995825,18.6419209406294
"miR-0063","Target",20.1818471926198,20.1648408679185,20.3641146873551,20.5521577142186,29.398107154015,29.0063014089013,31.0267850560749,30.7510613026063
"miR-0064","Target",28.4908334626713,29.9048525491507,29.1040521772435,27.929248929458,20.1501201311881,19.9207882907414,19.9026307324869,20.2161525418012
"miR-0065","Target",20.8824651643966,20.2055975044834,19.3835641571265,19.2652007480787,29.8681972069588,30.310016986579,28.960319647298,29.8156911311576
"miR-0066","Target",30.9672672601679,29.8917199087655,29.3015793324056,29.7240548315745,21.114648545362,20.5500439612141,21.2366758000816,20.1390978571618
"miR-0067","Target",20.4102750964904,19.4415430876519,20.6053706689303,19.4936664578108,28.5794344953043,30.1279929656841,31.9458512177314,30.8009143395731
"miR-0068","Target",31.1652533899463,30.3588557230932,29.3914428216838,29.7977591448897,19.7267518931881,19.5313002202179,20.7041672839297,18.8026364976346
"miR-0069","Target",20.8663661321128,20.8641524862259,18.8013776409312,20.6394919979005,32.4302266523445,29.4427845180584,30.8449042414081,29.2177981543806
"miR-0070","Target",31.1107114182028,30.2498247199266,31.6519153916232,28.5410292714631,19.9487021138746,19.4730748238744,19.8027351309237,19.370421257314
"miR-0071","Target",19.166156419465,20.5787223746165,18.9124192859231,21.4840309315563,28.8137934146862,30.1010791513953,30.5329892868265,30.5867353390926
"miR-0072","Target",29.6982533361336,30.0795019953284,30.9612641518097,28.5435340829236,19.2182602884679,20.3204023143166,19.555218021663,21.370003993971
"miR-0073","Target",20.6732538633548,20.0721667524148,18.4922426824633,20.0261002253262,29.683584131803,29.8976534864794,28.8184407729443,30.4986580438299
"miR-0074","Target",28.961043559693,29.7737780185576,30.3814258294514,29.216484210987,20.5829914056801,18.6834895983483,17.1902253210395,20.4649679907859
"miR-0075","Target",20.840539826961,19.7141545764086,20.5041262545916,18.8440834749163,29.8728513931743,28.0584816239594,31.1811808914385,31.8599108615432
"miR-0076","Target",31.074012260282,29.9726530335863,29.9666696577241,28.4839323768489,20.7903853438882,19.7892658193082,19.3432570746389,18.5879742073417
"miR-0077","Target",19.7002375033537,19.1509388649833,19.6029694796722,18.7824000122364,31.6875894829457,29.983997472792,31.0749450772724,27.3983003297423
"miR-0078","Target",29.5468021700052,29.3245177084079,28.7770738206341,31.5466091542241,18.5847180802305,20.318390260408,20.8464362855797,20.178190188418
"miR-0079","Target",19.1247445225045,20.9411658067242,20.1705880818408,18.936502093618,28.6119509523979,32.0867174344931,29.3214968545816,28.144428346082
"miR-0080","Target",30.5332593627537,30.3102302560609,28.6461656642774,28.0570435864181,19.8836974828414,21.1393962917094,20.6361240351821,19.507062575838
"miR-0081","Target",19.1658117684156,20.2710667567505,20.1573533472162,20.6297117466927,29.6042020497111,30.8993540532031,29.1691884726638,29.66945529988
"miR-0082","Target",30.7408145237259,30.9899716086271,28.0614952985466,30.1071904070162,20.6087790117346,18.5491756865094,20.4806255998752,19.1718257296032
"miR-0083","Target",21.0202530121644,20.5384820321026,20.7690522949956,20.120719329287,30.8636484341578,31.3805145283145,31.9662480154556,29.9716049452509
"miR-0084","Target",27.7509489096676,30.031526004594,30.20556120845,29.8446546528556,20.5682886207771,21.0106779645143,19.4820175698322,19.7059046728439
"miR-0085","Target",20.3978422088003,19.4497762585109,20.0912673834882,18.0382924011147,28.8801002786024,28.6722445243959,29.1463763032728,29.3066954720693
"miR-0086","Target",30.3823051425464,30.9821130025226,29.2726164709125,29.003161017622,18.9583111410105,19.5854112736363,19.7609709318474,20.4836175338383
"miR-0087","Target",19.6786751578316,17.92151073114,19.9085657244499,21.1871868106516,31.1916012685103,29.2110367818888,28.4522234563624,32.4580604918653
"miR-0088","Target",29.8375780575206,29.9025487498944,30.4205741886981,28.3859605433809,19.2717808888087,18.45955759471,19.3069053859894,20.1188494330046
"miR-0089","Target",18.6352905420131,20.5899826793673,20.2893440288173,19.0957849743794,30.2263249423811,30.7480811624938,31.0610952532617,29.7871517213535
"miR-0090","Target",29.906363206089,29.9132858650181,31.441461756055,31.125071892278,20.834401567757,19.7126592001593,20.3732414341664,20.4032903312207
"miR-0091","Target",18.9583267057107,18.2716954846793,20.6418300276516,18.4706894688196,30.0016836884842,30.2502478213483,30.5638673903059,30.1894262375148
"miR-0092","Target",29.2671461937029,30.9863658598955,31.7386337669062,30.8811788089254,18.056349098676,21.3995761854029,19.9439440538137,20.5249142793193
"miR-0093","Target",20.6220332358711,19.9033139267933,19.9247368023513,21.0191570693309,30.7116019224862,30.9902622460442,32.3829266952303,30.6644158636941
"miR-0094","Target",30.2073811573853,27.7893668894244,32.6917140032461,29.5173231782037,22.3747347150954,20.374643568005,21.5384301988968,19.8902896788238
"miR-0095","Target",20.5114707546981,20.2139579796423,19.8138793006265,19.8796061753775,31.0128343358443,29.7985418530285,27.9623175055592,29.8041107511702
"miR-0096","Target",30.5397906055363,30.6164557163514,30.6165678174774,28.3078984791309,20.3687420580112,20.9678592099471,21.2765786814677,19.7750387289559
"miR-0097","Target",19.6781074138172,21.487837831878,18.3320719542207,19.5631700230869,30.4574620793575,28.3822262346188,30.2796278624318,31.8778640210522
"miR-0098","Target",29.9959393465637,29.7215459750364,30.4749117140341,29.7209278292127,20.8134003740791,20.9044354644497,20.0026916612301,18.8233078422503
"miR-0099","Target",18.6817792725409,19.4070026343447,20.7973805005498,18.0417948253431,28.1136748412675,29.3462201752399,30.3943948479806,29.086433951835
"miR-0100","Target",30.8867490370961,30.3333699701552,29.8293603817614,30.8188281365318,20.3883651628194,19.5540649727878,20.2311149344182,20.6475133579776
"miR-0101","Target",20.356283344862,19.3419897920505,20.8552022050642,21.1529362255586,30.2762745565433,30.1441046624622,29.9243749192202,32.1614158463028
"miR-0102","Target",30.2763155321358,29.8417059713001,27.4920821978027,28.4347182349695,19.9223267993894,20.2062940448431,20.2768724588616,20.8215067804486
"miR-0103","Target",19.8058475906795,21.2145887944826,19.0784839571304,18.7915572795569,28.7710138224462,30.7422970241865,29.9170800576608,30.7898179218205
"miR-0104","Target",29.7322935784429,29.4081078977872,29.6316474248735,28.1473831757583,18.8303847395859,18.5579653536415,21.0543222719753,19.4026699086372
"miR-0105","Target",20.7894598527902,21.516490601692,19.8082251908901,20.2838789063524,28.2489324806039,29.1813302224802,30.0562148493828,30.2990869033362
"miR-0106","Target",29.2406018827011,32.6848589992268,29.5416098609076,30.06424355663,20.6497918671535,19.973981365226,19.3564326129729,21.0453056639633
"miR-0107","Target",21.6155453232072,19.9703060289502,20.5622673454031,19.9025875014974,31.0164552177022,28.8438326057401,32.3208602239945,29.3964687522117
"miR-0108","Target",28.5411505855619,29.6490821728069,30.146708484145,31.6236212076802,20.9112096767713,20.1424584320458,18.6105164760118,19.1339622553279
"miR-0109","Target",19.8367150677707,22.5530261134606,18.1397724257816,21.131054651846,29.4727657427661,31.6659908999874,28.8607993600266,30.1436232346627
"miR-0110","Target",28.9004490582972,30.9035164263617,31.4837794887381,31.9507210064012,20.7976006575895,21.8432662545778,21.2464239086616,19.868125088176
"miR-0111","Target",20.4770372382847,19.0280057885241,19.814797830599,21.2209637083488,30.5412841434824,30.4573573316253,28.9618689603128,29.3954867696659
"miR-0112","Target",29.2353939862464,30.3952958700135,29.0094923695334,30.5620413900991,18.8835835880665,21.8285304581354,20.4605913494781,19.2989963877467
"miR-0113","Target",20.2410459325012,19.647546800772,20.3711479597597,20.2435327187603,28.9858858273385,29.2086861211805,30.2995936847396,31.6390519087516
"miR-0114","Target",31.0846170086709,29.3754325263819,30.8259229016475,29.9514316472437,20.3013136517184,20.2603614907366,22.5754497637234,18.8147111894128
"miR-0115","Target",20.1009198590129,18.2200227120324,20.5898359229588,21.0966084717214,31.4456622411012,28.0748547481629,30.412769497194,31.5933699513837
"miR-0116","Target",29.5859841369577,29.7878494679181,29.9634627777953,30.365018751433,20.665159875746,21.3178208837115,19.904512409555,20.1962780454725
"miR-0117","Target",22.4879978772215,20.431098928115,20.1887531093298,18.6577568747166,30.0028560476222,29.7786738468331,29.9889541701906,29.4245823587288
"miR-0118","Target",29.3131843475573,29.2792263681799,29.7854954846002,31.3681326480286,21.0490866265593,19.6400248820569,18.3140835454613,19.155416571464
